Orthogroup	Duplications (all)	Duplications (50% support)
OG0000382	50	40
OG0000383	45	37
OG0000384	93	93
OG0000385	48	43
OG0000386	45	41
OG0000387	50	34
OG0000388	72	63
OG0000389	33	30
OG0000390	72	63
OG0000391	36	31
OG0000392	59	28
OG0000393	59	47
OG0000394	63	54
OG0000395	40	36
OG0000396	34	23
OG0000397	50	44
OG0000398	45	40
OG0000399	80	78
OG0000400	20	16
OG0000401	47	41
OG0000402	38	37
OG0000403	34	20
OG0000404	28	18
OG0000405	43	34
OG0000406	52	45
OG0000407	56	53
OG0000408	57	48
OG0000409	69	62
OG0000410	55	52
OG0000411	72	62
OG0000412	40	34
OG0000413	62	47
OG0000414	101	101
OG0000415	66	63
OG0000416	51	41
OG0000417	57	41
OG0000418	18	15
OG0000419	16	12
OG0000420	22	19
OG0000421	99	99
OG0000422	95	95
OG0000423	100	100
OG0000424	75	67
OG0000425	60	56
OG0000426	40	23
OG0000427	44	31
OG0000428	49	39
OG0000429	38	30
OG0000430	51	44
OG0000431	49	40
OG0000432	71	58
OG0000433	32	20
OG0000434	53	34
OG0000435	58	54
OG0000436	32	24
OG0000437	44	36
OG0000438	36	29
OG0000439	78	69
OG0000440	97	97
OG0000441	98	98
OG0000442	98	98
OG0000443	68	59
OG0000444	37	25
OG0000445	26	22
OG0000446	37	30
OG0000447	33	25
OG0000448	37	28
OG0000449	45	34
OG0000450	73	67
OG0000451	69	60
OG0000452	51	37
OG0000453	47	38
OG0000454	53	29
OG0000455	73	65
OG0000456	38	23
OG0000457	20	13
OG0000458	42	37
OG0000459	51	46
OG0000460	96	96
OG0000461	65	44
OG0000462	95	95
OG0000463	94	94
OG0000464	44	35
OG0000465	49	39
OG0000466	51	34
OG0000467	29	26
OG0000468	25	17
OG0000469	37	33
OG0000470	43	33
OG0000471	60	44
OG0000472	49	47
OG0000473	55	30
OG0000474	54	42
OG0000475	35	30
OG0000476	43	35
OG0000477	48	43
OG0000478	23	18
OG0000479	59	53
OG0000480	39	31
OG0000481	94	94
OG0000482	92	92
OG0000483	74	71
OG0000484	28	24
OG0000485	40	38
OG0000486	63	59
OG0000487	43	37
OG0000488	93	93
OG0000489	89	89
OG0000490	47	45
OG0000491	47	45
OG0000492	43	36
OG0000493	35	23
OG0000494	62	55
OG0000495	41	36
OG0000496	66	62
OG0000497	92	92
OG0000498	26	17
OG0000499	37	34
OG0000500	27	16
OG0000501	58	54
OG0000502	31	22
OG0000503	65	61
OG0000504	62	60
OG0000505	57	45
OG0000506	40	27
OG0000507	48	39
OG0000508	57	49
OG0000509	77	62
OG0000510	66	55
OG0000511	66	60
OG0000512	74	72
OG0000513	62	60
OG0000514	52	49
OG0000515	85	85
OG0000516	88	88
OG0000517	89	89
OG0000518	58	34
OG0000519	36	22
OG0000520	44	34
OG0000521	28	24
OG0000522	40	28
OG0000523	33	32
OG0000524	19	15
OG0000525	54	38
OG0000526	17	12
OG0000527	73	67
OG0000528	85	85
OG0000529	74	74
OG0000530	88	88
OG0000531	45	38
OG0000532	42	29
OG0000533	23	17
OG0000534	62	55
OG0000535	87	87
OG0000536	85	85
OG0000537	24	20
OG0000538	37	34
OG0000539	33	27
OG0000540	35	30
OG0000541	37	28
OG0000542	38	32
OG0000543	24	19
OG0000544	23	18
OG0000545	35	33
OG0000546	60	50
OG0000547	71	71
OG0000548	37	33
OG0000549	29	28
OG0000550	37	29
OG0000551	25	17
OG0000552	46	36
OG0000553	48	43
OG0000554	63	58
OG0000555	19	13
OG0000556	42	27
OG0000557	46	27
OG0000558	45	41
OG0000559	50	46
OG0000560	60	51
OG0000561	29	24
OG0000562	36	32
OG0000563	24	22
OG0000564	66	55
OG0000565	57	55
OG0000566	60	49
OG0000567	28	19
OG0000568	54	45
OG0000569	33	25
OG0000570	25	21
OG0000571	32	25
OG0000572	48	33
OG0000573	42	39
OG0000574	59	52
OG0000575	35	32
OG0000576	46	35
OG0000577	31	26
OG0000578	46	34
OG0000579	42	27
OG0000580	31	18
OG0000581	62	61
OG0000582	24	18
OG0000583	29	20
OG0000584	46	38
OG0000585	35	27
OG0000586	38	33
OG0000587	81	81
OG0000588	83	83
OG0000589	46	28
OG0000590	27	22
OG0000591	33	23
OG0000592	32	27
OG0000593	29	26
OG0000594	34	24
OG0000595	48	39
OG0000596	38	31
OG0000597	31	26
OG0000598	56	53
OG0000599	62	53
OG0000600	48	37
OG0000601	80	80
OG0000602	79	79
OG0000603	59	58
OG0000604	54	35
OG0000605	53	44
OG0000606	34	19
OG0000607	31	18
OG0000608	32	27
OG0000609	75	74
OG0000610	81	81
OG0000611	70	60
OG0000612	36	21
OG0000613	23	14
OG0000614	31	22
OG0000615	30	20
OG0000616	41	37
OG0000617	43	32
OG0000618	20	15
OG0000619	34	29
OG0000620	58	53
OG0000621	49	43
OG0000622	51	50
OG0000623	40	37
OG0000624	79	79
OG0000625	79	79
OG0000626	79	79
OG0000627	41	30
OG0000628	39	25
OG0000629	53	50
OG0000630	38	31
OG0000631	29	24
OG0000632	44	41
OG0000633	29	21
OG0000634	28	22
OG0000635	24	23
OG0000636	28	21
OG0000637	20	18
OG0000638	62	51
OG0000639	57	52
OG0000640	78	78
OG0000641	79	79
OG0000642	77	77
OG0000643	76	76
OG0000644	79	79
OG0000645	79	79
OG0000646	43	41
OG0000647	64	58
OG0000648	42	35
OG0000649	38	24
OG0000650	25	20
OG0000651	38	38
OG0000652	26	24
OG0000653	25	20
OG0000654	33	27
OG0000655	47	44
OG0000656	61	54
OG0000657	31	23
OG0000658	53	46
OG0000659	78	78
OG0000660	75	75
OG0000661	41	22
OG0000662	72	72
OG0000663	43	41
OG0000664	27	20
OG0000665	60	55
OG0000666	21	18
OG0000667	30	21
OG0000668	54	48
OG0000669	43	39
OG0000670	54	52
OG0000671	13	11
OG0000672	22	17
OG0000673	41	39
OG0000674	24	18
OG0000675	37	31
OG0000676	31	17
OG0000677	77	77
OG0000678	77	77
OG0000679	44	41
OG0000680	76	76
OG0000681	77	77
OG0000682	77	77
OG0000683	77	77
OG0000684	38	24
OG0000685	38	35
OG0000686	16	12
OG0000687	57	55
OG0000688	46	22
OG0000689	20	15
OG0000690	44	44
OG0000691	33	26
OG0000692	50	39
OG0000693	50	48
OG0000694	30	28
OG0000695	25	18
OG0000696	31	29
OG0000697	52	50
OG0000698	46	42
OG0000699	36	25
OG0000700	25	20
OG0000701	35	30
OG0000702	75	75
OG0000703	25	20
OG0000704	26	22
OG0000705	37	31
OG0000706	48	41
OG0000707	19	14
OG0000708	19	11
OG0000709	18	10
OG0000710	25	21
OG0000711	24	17
OG0000712	25	21
OG0000713	64	60
OG0000714	67	66
OG0000715	74	74
OG0000716	75	75
OG0000717	57	49
OG0000718	75	75
OG0000719	57	50
OG0000720	56	34
OG0000721	36	22
OG0000722	34	20
OG0000723	37	28
OG0000724	23	18
OG0000725	34	19
OG0000726	27	16
OG0000727	34	28
OG0000728	34	26
OG0000729	25	20
OG0000730	29	23
OG0000731	32	26
OG0000732	28	23
OG0000733	61	54
OG0000734	37	23
OG0000735	21	17
OG0000736	39	32
OG0000737	26	24
OG0000738	41	27
OG0000739	31	26
OG0000740	48	45
OG0000741	24	19
OG0000742	54	51
OG0000743	50	44
OG0000744	22	13
OG0000745	34	22
OG0000746	28	21
OG0000747	31	27
OG0000748	21	15
OG0000749	47	44
OG0000750	29	21
OG0000751	47	46
OG0000752	58	51
OG0000753	66	64
OG0000754	59	57
OG0000755	38	27
OG0000756	47	47
OG0000757	35	21
OG0000758	22	14
OG0000759	50	50
OG0000760	51	49
OG0000761	48	40
OG0000762	22	20
OG0000763	42	39
OG0000764	37	26
OG0000765	39	35
OG0000766	43	37
OG0000767	52	52
OG0000768	24	22
OG0000769	39	33
OG0000770	17	11
OG0000771	25	19
OG0000772	32	19
OG0000773	69	69
OG0000774	62	60
OG0000775	50	42
OG0000776	70	70
OG0000777	71	71
OG0000778	72	72
OG0000779	28	26
OG0000780	33	20
OG0000781	36	23
OG0000782	22	19
OG0000783	39	32
OG0000784	31	29
OG0000785	25	23
OG0000786	35	28
OG0000787	19	14
OG0000788	40	35
OG0000789	21	18
OG0000790	27	25
OG0000791	34	26
OG0000792	26	15
OG0000793	16	12
OG0000794	32	25
OG0000795	19	16
OG0000796	50	50
OG0000797	24	17
OG0000798	71	71
OG0000799	56	56
OG0000800	68	65
OG0000801	71	71
OG0000802	36	21
OG0000803	25	20
OG0000804	45	24
OG0000805	34	20
OG0000806	44	34
OG0000807	37	28
OG0000808	30	23
OG0000809	31	21
OG0000810	38	32
OG0000811	21	18
OG0000812	24	19
OG0000813	33	25
OG0000814	14	14
OG0000815	28	20
OG0000816	27	18
OG0000817	31	27
OG0000818	36	27
OG0000819	70	70
OG0000820	70	70
OG0000821	40	29
OG0000822	70	70
OG0000823	69	69
OG0000824	69	69
OG0000825	31	21
OG0000826	33	24
OG0000827	30	24
OG0000828	31	24
OG0000829	20	13
OG0000830	36	29
OG0000831	29	24
OG0000832	17	11
OG0000833	21	15
OG0000834	26	21
OG0000835	41	39
OG0000836	22	20
OG0000837	21	18
OG0000838	28	24
OG0000839	46	39
OG0000840	25	22
OG0000841	65	65
OG0000842	57	54
OG0000843	69	69
OG0000844	69	69
OG0000845	69	69
OG0000846	33	14
OG0000847	35	22
OG0000848	31	19
OG0000849	39	32
OG0000850	33	19
OG0000851	41	36
OG0000852	36	30
OG0000853	31	22
OG0000854	22	19
OG0000855	29	14
OG0000856	23	21
OG0000857	22	19
OG0000858	29	26
OG0000859	22	18
OG0000860	22	21
OG0000861	31	29
OG0000862	40	38
OG0000863	33	28
OG0000864	32	27
OG0000865	55	52
OG0000866	36	33
OG0000867	45	39
OG0000868	28	24
OG0000869	25	21
OG0000870	31	27
OG0000871	54	46
OG0000872	57	56
OG0000873	67	67
OG0000874	68	68
OG0000875	66	66
OG0000876	37	28
OG0000877	28	25
OG0000878	12	10
OG0000879	31	20
OG0000880	32	19
OG0000881	21	15
OG0000882	20	18
OG0000883	35	29
OG0000884	27	15
OG0000885	26	26
OG0000886	33	27
OG0000887	40	37
OG0000888	22	16
OG0000889	22	13
OG0000890	10	8
OG0000891	39	32
OG0000892	30	22
OG0000893	19	14
OG0000894	38	33
OG0000895	31	31
OG0000896	19	14
OG0000897	24	18
OG0000898	42	27
OG0000899	67	67
OG0000900	46	43
OG0000901	39	35
OG0000902	32	14
OG0000903	27	19
OG0000904	32	24
OG0000905	49	36
OG0000906	39	28
OG0000907	55	55
OG0000908	38	34
OG0000909	25	25
OG0000910	50	42
OG0000911	26	18
OG0000912	19	15
OG0000913	18	16
OG0000914	43	36
OG0000915	22	19
OG0000916	19	15
OG0000917	32	20
OG0000918	33	24
OG0000919	18	17
OG0000920	39	35
OG0000921	30	22
OG0000922	48	44
OG0000923	38	32
OG0000924	52	49
OG0000925	64	64
OG0000926	64	64
OG0000927	65	65
OG0000928	66	66
OG0000929	27	24
OG0000930	31	19
OG0000931	33	21
OG0000932	15	11
OG0000933	30	28
OG0000934	28	23
OG0000935	29	23
OG0000936	21	14
OG0000937	28	25
OG0000938	20	15
OG0000939	45	42
OG0000940	18	15
OG0000941	17	14
OG0000942	21	18
OG0000943	25	17
OG0000944	40	38
OG0000945	29	19
OG0000946	34	32
OG0000947	31	22
OG0000948	29	25
OG0000949	28	24
OG0000950	20	13
OG0000951	20	20
OG0000952	21	19
OG0000953	31	26
OG0000954	54	46
OG0000955	53	50
OG0000956	44	35
OG0000957	65	65
OG0000958	33	16
OG0000959	26	13
OG0000960	34	31
OG0000961	42	25
OG0000962	48	43
OG0000963	24	20
OG0000964	32	22
OG0000965	42	37
OG0000966	25	20
OG0000967	21	18
OG0000968	20	13
OG0000969	24	20
OG0000970	22	20
OG0000971	20	15
OG0000972	16	16
OG0000973	56	55
OG0000974	22	20
OG0000975	42	42
OG0000976	30	23
OG0000977	36	35
OG0000978	22	19
OG0000979	64	64
OG0000980	46	38
OG0000981	62	62
OG0000982	63	63
OG0000983	58	57
OG0000984	64	64
OG0000985	64	64
OG0000986	64	64
OG0000987	64	64
OG0000988	26	17
OG0000989	34	26
OG0000990	31	22
OG0000991	34	32
OG0000992	25	14
OG0000993	57	57
OG0000994	34	26
OG0000995	33	25
OG0000996	42	42
OG0000997	17	11
OG0000998	50	42
OG0000999	38	37
OG0001000	20	14
OG0001001	22	21
OG0001002	15	14
OG0001003	16	15
OG0001004	13	12
OG0001005	26	20
OG0001006	13	9
OG0001007	13	10
OG0001008	63	63
OG0001009	52	46
OG0001010	62	62
OG0001011	55	52
OG0001012	61	60
OG0001013	63	63
OG0001014	33	30
OG0001015	27	15
OG0001016	34	29
OG0001017	21	15
OG0001018	18	14
OG0001019	19	18
OG0001020	46	38
OG0001021	30	28
OG0001022	40	36
OG0001023	19	15
OG0001024	29	25
OG0001025	18	13
OG0001026	30	25
OG0001027	17	14
OG0001028	23	19
OG0001029	23	18
OG0001030	32	28
OG0001031	28	26
OG0001032	27	19
OG0001033	23	23
OG0001034	12	12
OG0001035	50	48
OG0001036	30	29
OG0001037	50	47
OG0001038	59	59
OG0001039	62	62
OG0001040	62	62
OG0001041	61	61
OG0001042	62	62
OG0001043	62	62
OG0001044	29	19
OG0001045	27	16
OG0001046	31	21
OG0001047	32	24
OG0001048	43	36
OG0001049	16	11
OG0001050	22	14
OG0001051	45	44
OG0001052	14	12
OG0001053	10	7
OG0001054	33	31
OG0001055	20	16
OG0001056	32	29
OG0001057	14	13
OG0001058	22	17
OG0001059	46	38
OG0001060	52	52
OG0001061	60	60
OG0001062	55	54
OG0001063	59	59
OG0001064	61	61
OG0001065	61	61
OG0001066	61	61
OG0001067	28	17
OG0001068	29	20
OG0001069	25	13
OG0001070	30	17
OG0001071	27	20
OG0001072	20	17
OG0001073	50	50
OG0001074	30	25
OG0001075	34	20
OG0001076	26	24
OG0001077	27	24
OG0001078	18	15
OG0001079	20	20
OG0001080	21	18
OG0001081	21	17
OG0001082	12	9
OG0001083	28	22
OG0001084	20	13
OG0001085	22	14
OG0001086	12	7
OG0001087	15	11
OG0001088	37	35
OG0001089	25	23
OG0001090	12	11
OG0001091	28	22
OG0001092	49	45
OG0001093	48	48
OG0001094	59	59
OG0001095	60	60
OG0001096	48	45
OG0001097	57	55
OG0001098	60	60
OG0001099	59	59
OG0001100	60	60
OG0001101	59	59
OG0001102	58	56
OG0001103	59	59
OG0001104	20	18
OG0001105	32	18
OG0001106	25	17
OG0001107	22	13
OG0001108	21	12
OG0001109	28	23
OG0001110	25	17
OG0001111	13	10
OG0001112	19	17
OG0001113	37	31
OG0001114	32	23
OG0001115	28	19
OG0001116	29	25
OG0001117	20	6
OG0001118	14	9
OG0001119	36	34
OG0001120	26	16
OG0001121	27	25
OG0001122	28	24
OG0001123	24	17
OG0001124	26	24
OG0001125	25	19
OG0001126	15	13
OG0001127	25	24
OG0001128	29	28
OG0001129	14	9
OG0001130	21	18
OG0001131	28	23
OG0001132	58	58
OG0001133	58	58
OG0001134	38	26
OG0001135	57	57
OG0001136	57	57
OG0001137	58	58
OG0001138	59	59
OG0001139	59	59
OG0001140	57	57
OG0001141	29	21
OG0001142	28	25
OG0001143	39	26
OG0001144	18	17
OG0001145	28	19
OG0001146	25	20
OG0001147	40	36
OG0001148	22	8
OG0001149	11	9
OG0001150	31	29
OG0001151	36	34
OG0001152	32	26
OG0001153	25	18
OG0001154	23	15
OG0001155	29	25
OG0001156	19	19
OG0001157	12	12
OG0001158	17	10
OG0001159	13	11
OG0001160	12	8
OG0001161	15	12
OG0001162	29	28
OG0001163	26	16
OG0001164	11	10
OG0001165	23	17
OG0001166	29	27
OG0001167	22	16
OG0001168	22	18
OG0001169	26	20
OG0001170	20	16
OG0001171	29	26
OG0001172	11	10
OG0001173	26	19
OG0001174	26	20
OG0001175	24	21
OG0001176	29	26
OG0001177	30	27
OG0001178	57	57
OG0001179	56	56
OG0001180	35	30
OG0001181	57	57
OG0001182	48	41
OG0001183	41	29
OG0001184	56	56
OG0001185	58	58
OG0001186	58	58
OG0001187	54	53
OG0001188	58	58
OG0001189	32	17
OG0001190	33	27
OG0001191	24	19
OG0001192	35	18
OG0001193	20	13
OG0001194	22	15
OG0001195	26	15
OG0001196	26	20
OG0001197	28	23
OG0001198	24	22
OG0001199	26	15
OG0001200	32	30
OG0001201	19	15
OG0001202	12	8
OG0001203	23	15
OG0001204	29	24
OG0001205	27	19
OG0001206	24	17
OG0001207	30	24
OG0001208	18	14
OG0001209	29	26
OG0001210	29	23
OG0001211	18	15
OG0001212	26	21
OG0001213	31	27
OG0001214	12	11
OG0001215	24	17
OG0001216	33	31
OG0001217	28	24
OG0001218	11	7
OG0001219	32	26
OG0001220	20	17
OG0001221	24	17
OG0001222	28	26
OG0001223	24	18
OG0001224	29	24
OG0001225	27	17
OG0001226	25	18
OG0001227	24	16
OG0001228	29	26
OG0001229	15	14
OG0001230	57	57
OG0001231	57	57
OG0001232	51	51
OG0001233	56	56
OG0001234	47	39
OG0001235	57	57
OG0001236	56	56
OG0001237	55	55
OG0001238	56	56
OG0001239	57	57
OG0001240	55	55
OG0001241	24	22
OG0001242	56	56
OG0001243	27	21
OG0001244	32	21
OG0001245	22	15
OG0001246	26	17
OG0001247	15	13
OG0001248	14	12
OG0001249	30	21
OG0001250	20	19
OG0001251	23	16
OG0001252	21	12
OG0001253	19	11
OG0001254	28	24
OG0001255	9	5
OG0001256	23	17
OG0001257	32	27
OG0001258	49	49
OG0001259	16	15
OG0001260	35	35
OG0001261	23	17
OG0001262	12	11
OG0001263	27	24
OG0001264	26	19
OG0001265	27	22
OG0001266	10	9
OG0001267	14	10
OG0001268	31	29
OG0001269	12	9
OG0001270	30	25
OG0001271	21	16
OG0001272	18	17
OG0001273	26	22
OG0001274	19	17
OG0001275	13	11
OG0001276	20	15
OG0001277	27	21
OG0001278	24	21
OG0001279	51	51
OG0001280	37	37
OG0001281	56	56
OG0001282	56	56
OG0001283	48	46
OG0001284	46	44
OG0001285	55	55
OG0001286	55	55
OG0001287	56	56
OG0001288	56	56
OG0001289	56	56
OG0001290	41	34
OG0001291	20	9
OG0001292	27	15
OG0001293	37	25
OG0001294	28	10
OG0001295	29	18
OG0001296	24	22
OG0001297	31	25
OG0001298	18	7
OG0001299	13	8
OG0001300	33	31
OG0001301	35	35
OG0001302	23	16
OG0001303	21	15
OG0001304	23	17
OG0001305	12	10
OG0001306	19	16
OG0001307	20	15
OG0001308	21	11
OG0001309	29	27
OG0001310	32	29
OG0001311	24	16
OG0001312	29	27
OG0001313	15	14
OG0001314	12	11
OG0001315	12	12
OG0001316	10	7
OG0001317	21	16
OG0001318	28	25
OG0001319	17	11
OG0001320	24	19
OG0001321	9	8
OG0001322	14	13
OG0001323	18	16
OG0001324	29	21
OG0001325	15	13
OG0001326	27	24
OG0001327	23	18
OG0001328	25	10
OG0001329	45	42
OG0001330	54	54
OG0001331	55	55
OG0001332	54	54
OG0001333	44	40
OG0001334	53	53
OG0001335	55	55
OG0001336	55	55
OG0001337	54	54
OG0001338	36	17
OG0001339	22	18
OG0001340	23	14
OG0001341	26	20
OG0001342	16	8
OG0001343	22	7
OG0001344	30	24
OG0001345	13	10
OG0001346	26	20
OG0001347	34	29
OG0001348	24	20
OG0001349	30	28
OG0001350	16	16
OG0001351	17	11
OG0001352	10	8
OG0001353	28	22
OG0001354	11	10
OG0001355	21	19
OG0001356	6	5
OG0001357	12	8
OG0001358	9	8
OG0001359	34	31
OG0001360	8	7
OG0001361	14	12
OG0001362	8	6
OG0001363	24	21
OG0001364	9	6
OG0001365	26	21
OG0001366	30	28
OG0001367	17	13
OG0001368	19	14
OG0001369	23	17
OG0001370	27	23
OG0001371	23	23
OG0001372	8	6
OG0001373	24	21
OG0001374	17	17
OG0001375	49	45
OG0001376	53	53
OG0001377	53	53
OG0001378	51	51
OG0001379	48	43
OG0001380	54	54
OG0001381	54	54
OG0001382	53	53
OG0001383	54	54
OG0001384	53	53
OG0001385	22	12
OG0001386	34	19
OG0001387	23	17
OG0001388	21	17
OG0001389	21	14
OG0001390	16	10
OG0001391	23	14
OG0001392	21	14
OG0001393	23	15
